,topic,model,score
0,climate,GPT-3.5,0.71
1,economics,GPT-3.5,0.655
2,entertainment,GPT-3.5,0.77
3,geography,GPT-3.5,0.73
4,health,GPT-3.5,0.785
5,history,GPT-3.5,0.71
6,news,GPT-3.5,0.555
7,politics,GPT-3.5,0.7
8,sports,GPT-3.5,0.66
9,technology,GPT-3.5,0.74
10,climate,GPT-4,0.72
11,economics,GPT-4,0.555
12,entertainment,GPT-4,0.725
13,geography,GPT-4,0.645
14,health,GPT-4,0.74
15,history,GPT-4,0.66
16,news,GPT-4,0.565
17,politics,GPT-4,0.76
18,sports,GPT-4,0.715
19,technology,GPT-4,0.705
20,climate,LLAMA-7B,0.74
21,economics,LLAMA-7B,0.67
22,entertainment,LLAMA-7B,0.78
23,geography,LLAMA-7B,0.83
24,health,LLAMA-7B,0.85
25,history,LLAMA-7B,0.79
26,news,LLAMA-7B,0.7
27,politics,LLAMA-7B,0.82
28,sports,LLAMA-7B,0.65
29,technology,LLAMA-7B,0.77
30,climate,LLAMA-13B,0.83
31,economics,LLAMA-13B,0.67
32,entertainment,LLAMA-13B,0.77
33,geography,LLAMA-13B,0.76
34,health,LLAMA-13B,0.82
35,history,LLAMA-13B,0.78
36,news,LLAMA-13B,0.71
37,politics,LLAMA-13B,0.76
38,sports,LLAMA-13B,0.74
39,technology,LLAMA-13B,0.85
40,climate,LLAMA-70B,0.78
41,economics,LLAMA-70B,0.71
42,entertainment,LLAMA-70B,0.83
43,geography,LLAMA-70B,0.79
44,health,LLAMA-70B,0.83
45,history,LLAMA-70B,0.74
46,news,LLAMA-70B,0.69
47,politics,LLAMA-70B,0.82
48,sports,LLAMA-70B,0.68
49,technology,LLAMA-70B,0.81
